dr,brigade,latitude,longitude
ALGER EXTERIEUR,BRIGADE POLYVALENTE A BOUIRA,36.3800,3.9000
BECHAR,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS DE BECHAR",31.6167,-2.2167
BECHAR,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS DE BECHAR",31.6167,-2.2167
BLIDA,BRIGADE MOBILE A BLIDA,36.4700,2.8300
BLIDA,BRIGADE MOBILE A SIDI MOUSSA,36.6000,3.0900
BLIDA,BRIGADE MOBILE A TIPAZA,36.5900,2.4500
BLIDA,BRIGADE MOBILE AUX PINS MARITIMES,36.7400,3.1200
BLIDA,BRIGADE MOBILE REGIONALE DE BLIDA,36.4700,2.8300
CHLEF,BRIGADE DE VISITE AUX VOYAGEURS,36.1700,1.3300
CHLEF,BRIGADE MOBILE A MOSTAGANEM,35.9300,0.0900
CHLEF,BRIGADE MOBILE A TIARET,35.3700,1.3200
CHLEF,BRIGADE POLYVALENTE A CHLEF ( COLIS POSTAUX ),36.1700,1.3300
CHLEF,BRIGADE POLYVALENTE A RELIZANE,35.7300,0.5500
CHLEF,"BRIGADE REGIONALE DE LA LUTTE CONTRE LA CONTREBANDE DE CHLEF",36.1700,1.3300
CHLEF,"BRIGADE REGIONALE DE LA LUTTE CONTRE LA CONTREBANDE DE CHLEF",36.1700,1.3300
CONSTANTINE,BRIGADE AMBULANTE,36.3600,6.6100
CONSTANTINE,BRIGADE COMMERCIALE À L'AÉROPORT MOHAMED BOUDIAF (COLIS POSTAUX),36.2850,6.6200
CONSTANTINE,BRIGADE DE LA LUTTE CONTRE LE TRAFIC ILLICITE DES STUPEFIANTS (SKIKDA),36.8667,6.9067
CONSTANTINE,BRIGADE DE VISITE AUX VOYAGEURS,36.3600,6.6100
CONSTANTINE,BRIGADE DE VISITE AUX VOYAGEURS A?ROPORT - MUSTAPHA BEN BOULAID,36.2850,6.6200
CONSTANTINE,BRIGADE DE VISITE AUX VOYAGEURS AÉROPORT - MUSTAPHA BEN BOULAID,36.2850,6.6200
CONSTANTINE,BRIGADE MOBILE A BATNA,35.5500,6.1700
CONSTANTINE,BRIGADE MOBILE A CONSTANTINE,36.3600,6.6100
CONSTANTINE,BRIGADE MOBILE A CONSTANTINE ,36.3600,6.6100
CONSTANTINE,BRIGADE MOBILE A OULED DJELLAL,34.4333,5.0667
CONSTANTINE,BRIGADE MOBILE A SKIKDA,36.8667,6.9067
CONSTANTINE,BRIGADE POLYVALENTE A BISKRA,34.8500,5.7333
CONSTANTINE,BRIGADE POLYVALENTE A TADJENANET,36.0333,5.9833
ILLIZI,"BRIGADE DE PROTECTION DU PATRIMOINE DE L'AHAGGAR ET DU TASSILI D'ILLIZI",26.4833,8.4667
ILLIZI,"BRIGADE DE PROTECTION DU PATRIMOINE DE L'AHAGGAR ET DU TASSILI D'ILLIZI",26.4833,8.4667
ILLIZI,BRIGADE MOBILE A DJANET,24.5500,9.4833
ILLIZI,BRIGADE MOBILE A ILLIZI,26.4833,8.4667
ILLIZI,BRIGADE MOBILE A IN AMENAS,28.0500,9.5500
ILLIZI,BRIGADE MOBILE A IN AMENAS ,28.0500,9.5500
ILLIZI,BRIGADE POLYVALENTE A BORDJ EL HEOUASS,26.0333,7.9333
ILLIZI,BRIGADE POLYVALENTE A DEBDEB,29.9833,9.1333
ILLIZI,BRIGADE POLYVALENTE A TARAT,24.7333,8.6333
ILLIZI,BRIGADE POLYVALENTE A TINELKOUM,25.4000,8.4000
ILLIZI,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS D'ILLIZI",26.4833,8.4667
ILLIZI,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS D'ILLIZI",26.4833,8.4667
BECHAR,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS DE BECHAR",31.6167,-2.2167
BECHAR,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS DE BECHAR",31.6167,-2.2167
BLIDA,BRIGADE MOBILE A BLIDA,36.4721,2.8289
BLIDA,BRIGADE MOBILE A SIDI MOUSSA,36.6000,3.1000
BLIDA,BRIGADE MOBILE A TIPAZA,36.5898,2.4473
BLIDA,BRIGADE MOBILE AUX PINS MARITIMES,36.7400,3.1200
BLIDA,BRIGADE MOBILE REGIONALE DE BLIDA,36.4721,2.8289
CHLEF,BRIGADE DE VISITE AUX VOYAGEURS,36.1653,1.3345
CHLEF,BRIGADE MOBILE A MOSTAGANEM,35.9333,0.0900
CHLEF,BRIGADE MOBILE A TIARET,35.3714,1.3167
CHLEF,BRIGADE POLYVALENTE A CHLEF ( COLIS POSTAUX ),36.1653,1.3345
CHLEF,BRIGADE POLYVALENTE A RELIZANE,35.7375,0.5486
CHLEF,"BRIGADE REGIONALE DE LA LUTTE CONTRE LA CONTREBANDE DE CHLEF",36.1653,1.3345
CHLEF,"BRIGADE REGIONALE DE LA LUTTE CONTRE LA CONTREBANDE DE CHLEF",36.1653,1.3345
CONSTANTINE,BRIGADE AMBULANTE,36.3650,6.6147
CONSTANTINE,BRIGADE COMMERCIALE À L'AÉROPORT MOHAMED BOUDIAF (COLIS POSTAUX),36.2850,6.6200
CONSTANTINE,BRIGADE DE LA LUTTE CONTRE LE TRAFIC ILLICITE DES STUPEFIANTS (SKIKDA),36.8667,6.9067
CONSTANTINE,BRIGADE DE VISITE AUX VOYAGEURS,36.3650,6.6147
CONSTANTINE,BRIGADE DE VISITE AUX VOYAGEURS AÉROPORT - MUSTAPHA BEN BOULAID,36.2850,6.6200
CONSTANTINE,BRIGADE DE VISITE AUX VOYAGEURS AÉROPORT - MUSTAPHA BEN BOULAID,36.2850,6.6200
CONSTANTINE,BRIGADE MOBILE A BATNA,35.5550,6.1744
CONSTANTINE,BRIGADE MOBILE A CONSTANTINE,36.3650,6.6147
CONSTANTINE,BRIGADE MOBILE A CONSTANTINE ,36.3650,6.6147
CONSTANTINE,BRIGADE MOBILE A OULED DJELLAL,34.4628,5.6286
